Date,Goldpreis,Gold_ETF,Dollar_Index,SP500,Oil_Price,Wochentag
2022-09-08,1710.965,158.97999572753906,109.70999908447266,4006.179931640625,83.54000091552734,Thursday
2022-09-07,1716.655,159.94000244140625,109.83999633789062,3979.8701171875,81.94000244140625,Wednesday
2022-09-06,1703.58,158.3300018310547,110.20999908447266,3908.18994140625,86.87999725341797,Tuesday
2022-09-02,1712.63,159.25999450683594,109.52999877929688,3924.260009765625,86.87000274658203,Friday
2022-09-01,1697.475,157.8699951171875,109.69000244140624,3966.85009765625,86.61000061035156,Thursday
2022-08-31,1709.065,159.27000427246094,108.6999969482422,3955.0,89.55000305175781,Wednesday
2022-08-30,1723.405,160.50999450683594,108.7699966430664,3986.159912109375,91.63999938964844,Tuesday
2022-08-29,1739.63,161.86000061035156,108.83999633789062,4030.610107421875,97.01000213623048,Monday
2022-08-26,1738.145,161.75999450683594,108.8000030517578,4057.659912109375,93.05999755859376,Friday
2022-08-25,1756.49,163.75,108.47000122070312,4199.1201171875,92.5199966430664,Thursday
2022-08-24,1751.08,163.25,108.68000030517578,4140.77001953125,94.88999938964844,Wednesday
2022-08-23,1746.115,162.77000427246094,108.62000274658205,4128.72998046875,93.73999786376952,Tuesday
2022-08-22,1735.32,161.63999938964844,109.0500030517578,4137.990234375,90.2300033569336,Monday
2022-08-19,1747.605,162.72000122070312,108.16999816894533,4228.47998046875,90.7699966430664,Friday
2022-08-18,1758.545,163.9199981689453,107.4800033569336,4283.740234375,90.5,Thursday
2022-08-17,1765.04,164.35000610351562,106.56999969482422,4274.0400390625,88.11000061035156,Wednesday
2022-08-16,1775.665,165.4199981689453,106.5,4305.2001953125,86.52999877929688,Tuesday
2022-08-15,1778.63,165.7100067138672,106.5500030517578,4297.14013671875,89.41000366210938,Monday
2022-08-12,1802.18,167.8699951171875,105.62999725341795,4280.14990234375,92.08999633789062,Friday
2022-08-11,1789.12,166.33999633789062,105.08999633789062,4207.27001953125,94.33999633789062,Thursday
2022-08-10,1791.735,166.77999877929688,105.1999969482422,4210.240234375,91.93000030517578,Wednesday
2022-08-09,1794.165,167.1999969482422,106.37000274658205,4122.47021484375,90.5,Tuesday
2022-08-08,1789.245,166.69000244140625,106.44000244140624,4140.06005859375,90.76000213623048,Monday
2022-08-05,1775.77,165.2899932861328,106.62000274658205,4145.18994140625,89.01000213623047,Friday
2022-08-04,1793.405,167.1699981689453,105.69000244140624,4151.93994140625,88.54000091552734,Thursday
2022-08-03,1763.61,164.4499969482422,106.51000213623048,4155.169921875,90.66000366210938,Wednesday
2022-08-02,1756.675,164.0500030517578,106.23999786376952,4091.18994140625,94.41999816894533,Tuesday
2022-08-01,1772.355,165.02999877929688,105.4499969482422,4118.6298828125,93.88999938964844,Monday
2022-07-29,1766.42,164.10000610351562,105.9000015258789,4130.2900390625,98.62000274658205,Friday
2022-07-28,1755.07,163.63999938964844,106.3499984741211,4072.429931640625,96.41999816894533,Thursday
2022-07-27,1738.89,161.6699981689453,106.4499969482422,4023.610107421875,97.26000213623048,Wednesday
2022-07-26,1718.105,160.0399932861328,107.19000244140624,3921.050048828125,94.9800033569336,Tuesday
2022-07-25,1719.18,160.22999572753906,106.4800033569336,3966.840087890625,96.6999969482422,Monday
2022-07-22,1727.59,160.6699981689453,106.7300033569336,3961.6298828125,94.6999969482422,Friday
2022-07-21,1718.145,160.27000427246094,106.91000366210938,3998.949951171875,96.3499984741211,Thursday
2022-07-20,1695.525,158.0399932861328,107.08000183105467,3959.89990234375,102.26000213623048,Wednesday
2022-07-19,1710.07,159.5399932861328,106.68000030517578,3936.68994140625,104.22000122070312,Tuesday
2022-07-18,1708.26,159.16000366210938,107.37000274658205,3830.85009765625,102.5999984741211,Monday
2022-07-15,1707.6,159.00999450683594,108.05999755859376,3863.159912109375,97.58999633789062,Friday
2022-07-14,1711.74,159.3300018310547,108.54000091552734,3790.3798828125,95.77999877929688,Thursday
2022-07-13,1732.015,161.60000610351562,107.95999908447266,3801.780029296875,96.3000030517578,Wednesday
2022-07-12,1725.39,160.8300018310547,108.06999969482422,3818.800048828125,95.83999633789062,Tuesday
2022-07-11,1733.36,161.42999267578125,108.0199966430664,3854.429931640625,104.08999633789062,Monday
2022-07-08,1742.43,162.3000030517578,107.01000213623048,3899.3798828125,104.79000091552734,Friday
2022-07-07,1741.92,162.22999572753906,107.12999725341795,3902.6201171875,102.7300033569336,Thursday
2022-07-06,1740.06,162.13999938964844,107.0999984741211,3845.080078125,98.52999877929688,Wednesday
2022-07-05,1769.655,164.75,106.5,3831.389892578125,99.5,Tuesday
2022-07-01,1809.455,168.32000732421875,105.13999938964844,3825.330078125,108.43000030517578,Friday
2022-06-30,1806.545,168.4600067138672,104.69000244140624,3785.3798828125,105.76000213623048,Thursday
2022-06-29,1818.895,169.49000549316406,105.11000061035156,3818.830078125,109.77999877929688,Wednesday
2022-06-28,1818.415,169.6199951171875,104.51000213623048,3821.550048828125,111.76000213623048,Tuesday
2022-06-27,1823.76,169.89999389648438,103.94000244140624,3900.110107421875,109.56999969482422,Monday
2022-06-24,1827.155,170.08999633789062,104.19000244140624,3911.739990234375,107.62000274658205,Friday
2022-06-23,1824.62,170.25999450683594,104.43000030517578,3795.72998046875,104.2699966430664,Thursday
2022-06-22,1836.57,171.30999755859375,104.1999969482422,3759.889892578125,106.19000244140624,Wednesday
2022-06-21,1831.55,170.6300048828125,104.44000244140624,3764.7900390625,110.6500015258789,Tuesday
2022-06-17,1840.315,171.27000427246094,104.6999969482422,3674.840087890625,109.55999755859376,Friday
2022-06-16,1850.965,172.69000244140625,103.62999725341795,3666.77001953125,117.58999633789062,Thursday
2022-06-15,1833.86,170.77000427246094,105.16000366210938,3789.989990234375,115.30999755859376,Wednesday
2022-06-14,1811.07,168.57000732421875,105.5199966430664,3735.47998046875,118.93000030517578,Tuesday
2022-06-13,1820.975,169.92999267578125,105.08000183105467,3749.6298828125,120.93000030517578,Monday
2022-06-10,1871.745,174.5399932861328,104.1500015258789,3900.860107421875,120.66999816894533,Friday
2022-06-09,1847.08,172.22999572753906,103.22000122070312,4017.820068359375,121.51000213623048,Thursday
2022-06-08,1852.895,172.77999877929688,102.54000091552734,4115.77001953125,122.11000061035156,Wednesday
2022-06-07,1853.825,172.94000244140625,102.31999969482422,4160.68017578125,119.41000366210938,Tuesday
2022-06-06,1839.415,171.82000732421875,102.44000244140624,4121.43017578125,118.5,Monday
2022-06-03,1851.21,172.5800018310547,102.13999938964844,4108.5400390625,118.87000274658205,Friday
2022-06-02,1869.945,174.35000610351562,101.7699966430664,4176.81982421875,116.87000274658205,Thursday
