Date,Goldpreis_am_Tag,Gold_ETF,Dollar_Index,SP500,Oil_Price
2024-03-26,2179.58,201.63999938964844,104.29000091552734,5203.580078125,81.62000274658203
2024-03-25,2173.01,200.99000549316406,104.2300033569336,5218.18994140625,81.94999694824219
2024-03-22,2165.36,200.35000610351562,104.43000030517578,5234.18017578125,80.62999725341797
2024-03-21,2181.82,201.97000122070312,104.0,5241.52978515625,81.06999969482422
2024-03-20,2204.06,202.17999267578125,103.41000366210938,5224.6201171875,81.68000030517578
2024-03-19,2157.15,199.8000030517578,103.80999755859375,5178.509765625,83.47000122070312
2024-03-18,2162.21,200.02999877929688,103.58000183105469,5149.419921875,82.72000122070312
2024-03-15,2156.19,199.7100067138672,103.43000030517578,5117.08984375,81.04000091552734
2024-03-14,2161.72,200.35000610351562,103.36000061035156,5150.47998046875,81.26000213623047
2024-03-13,2175.59,201.19000244140625,102.79000091552734,5165.31005859375,79.72000122070312
2024-03-12,2156.98,199.7899932861328,102.95999908447266,5175.27001953125,77.55999755859375
2024-03-11,2183.69,202.0,102.87000274658203,5117.93994140625,77.93000030517578
2024-03-08,2179.06,201.6300048828125,102.73999786376953,5123.68994140625,78.01000213623047
2024-03-07,2161.99,199.94000244140625,102.81999969482422,5157.35986328125,78.93000030517578
2024-03-06,2147.38,198.80999755859375,103.37000274658203,5104.759765625,79.12999725341797
2024-03-05,2128.13,197.19000244140625,103.80000305175781,5078.64990234375,78.1500015258789
2024-03-04,2114.66,196.00999450683594,103.83000183105469,5130.9501953125,78.73999786376953
2024-03-01,2083.1,192.88999938964844,103.86000061035156,5137.080078125,79.97000122070312
2024-02-29,2044.32,189.30999755859375,104.16000366210938,5096.27001953125,78.26000213623047
2024-02-28,2034.75,188.33999633789062,103.9800033569336,5069.759765625,78.54000091552734
2024-02-27,2030.2,188.0,103.83000183105469,5078.18017578125,78.87000274658203
2024-02-26,2031.31,188.1999969482422,103.83000183105469,5069.52978515625,77.58000183105469
2024-02-23,2035.6,188.6199951171875,103.94000244140625,5088.7998046875,76.48999786376953
2024-02-22,2024.86,187.55999755859375,103.95999908447266,5087.02978515625,78.61000061035156
2024-02-21,2025.85,187.47999572753906,104.01000213623047,4981.7998046875,77.91000366210938
2024-02-20,2024.24,187.47000122070312,104.08000183105469,4975.509765625,78.18000030517578
2024-02-16,2013.35,186.33999633789062,104.30000305175781,5005.56982421875,79.19000244140625
2024-02-15,2003.51,185.66000366210938,104.30000305175781,5029.72998046875,78.02999877929688
2024-02-14,1993.83,184.4199981689453,104.72000122070312,5000.6201171875,76.63999938964844
2024-02-13,1991.56,184.52999877929688,104.95999908447266,4953.169921875,77.87000274658203
2024-02-12,2018.94,187.11000061035156,104.16999816894531,5021.83984375,76.91999816894531
2024-02-09,2024.35,187.60000610351562,104.08000183105469,5026.60986328125,76.83999633789062
