,1. open,2. high,3. low,4. close,5. volume
2024-12-09,2640.16,2676.48,2627.61,2660.6,0.0
2024-12-08,2644.28,2648.6,2636.47,2640.14,0.0
2024-12-06,2633.87,2645.74,2613.06,2633.13,0.0
2024-12-05,2650.45,2655.59,2623.6,2633.86,0.0
2024-12-04,2642.84,2657.19,2632.5,2650.43,0.0
2024-12-03,2642.32,2655.7,2634.18,2642.85,0.0
2024-12-02,2645.9,2651.78,2621.97,2642.3,0.0
2024-12-01,2652.5,2653.27,2643.18,2645.83,0.0
2024-11-29,2638.84,2666.38,2634.11,2650.5,0.0
2024-11-28,2637.15,2649.69,2620.99,2638.83,0.0
2024-11-27,2632.35,2658.26,2627.16,2637.13,0.0
2024-11-26,2610.57,2641.96,2608.66,2632.36,0.0
2024-11-25,2719.94,2720.2,2605.31,2610.49,0.0
2024-11-24,2707.71,2721.37,2705.1,2719.92,0.0
2024-11-22,2669.22,2715.78,2668.94,2715.67,0.0
2024-11-21,2652.25,2673.56,2650.48,2669.24,0.0
2024-11-20,2635.19,2655.49,2618.93,2652.26,0.0
2024-11-19,2612.77,2639.5,2611.13,2635.21,0.0
2024-11-18,2571.46,2615.03,2569.93,2612.73,0.0
2024-11-17,2564.86,2575.63,2564.85,2571.49,0.0
2024-11-15,2566.97,2576.13,2554.58,2563.19,0.0
2024-11-14,2571.0,2577.54,2536.89,2566.95,0.0
2024-11-13,2599.06,2618.91,2569.46,2570.97,0.0
2024-11-12,2624.08,2627.21,2589.8,2599.03,0.0
2024-11-11,2685.69,2686.23,2610.67,2624.08,0.0
2024-11-10,2682.59,2685.72,2681.52,2685.72,0.0
2024-11-08,2706.97,2710.44,2680.4,2684.77,0.0
2024-11-07,2664.11,2710.4,2643.51,2706.98,0.0
2024-11-06,2745.73,2749.73,2652.51,2664.12,0.0
2024-11-05,2736.15,2750.01,2724.81,2745.74,0.0
2024-11-04,2738.43,2748.25,2731.84,2736.09,0.0
2024-11-03,2738.71,2740.41,2730.32,2738.42,0.0
2024-11-01,2746.76,2762.3,2733.26,2736.75,0.0
2024-10-31,2785.49,2790.12,2731.65,2746.75,0.0
2024-10-30,2775.11,2790.05,2770.99,2785.48,0.0
2024-10-29,2744.51,2775.38,2743.35,2775.09,0.0
2024-10-28,2735.9,2746.0,2724.79,2744.54,0.0
2024-10-27,2734.92,2740.29,2730.34,2735.87,0.0
2024-10-25,2733.98,2748.03,2717.14,2747.38,0.0
2024-10-24,2721.34,2743.29,2717.91,2733.89,0.0
2024-10-23,2746.61,2758.54,2708.85,2721.37,0.0
2024-10-22,2721.54,2749.07,2720.72,2746.62,0.0
2024-10-21,2723.55,2740.63,2714.29,2721.53,0.0
2024-10-20,2720.92,2725.11,2719.67,2723.56,0.0
2024-10-18,2693.84,2722.63,2692.89,2721.86,0.0
2024-10-17,2674.21,2696.81,2673.28,2693.82,0.0
2024-10-16,2660.54,2685.4,2658.81,2674.2,0.0
2024-10-15,2649.47,2668.97,2638.16,2660.55,0.0
2024-10-14,2648.15,2666.86,2643.25,2649.49,0.0
2024-10-13,2655.57,2655.64,2645.34,2648.14,0.0
2024-10-11,2633.26,2661.48,2632.08,2656.97,0.0
2024-10-10,2608.48,2636.02,2602.9,2633.25,0.0
2024-10-09,2622.02,2624.41,2605.27,2608.47,0.0
2024-10-08,2643.05,2653.02,2604.83,2622.01,0.0
2024-10-07,2650.3,2659.69,2637.81,2643.06,0.0
2024-10-06,2650.63,2652.9,2649.67,2650.24,0.0
2024-10-04,2655.89,2670.24,2632.1,2653.63,0.0
2024-10-03,2660.42,2663.02,2638.35,2655.91,0.0
2024-10-02,2660.44,2663.41,2641.23,2660.38,0.0
2024-10-01,2635.75,2673.16,2634.0,2660.43,0.0
2024-09-30,2663.64,2666.1,2624.84,2635.73,0.0
2024-09-29,2658.92,2665.14,2658.22,2663.65,0.0
2024-09-27,2672.74,2674.34,2643.16,2658.18,0.0
2024-09-26,2656.39,2685.64,2654.89,2672.72,0.0
2024-09-25,2658.25,2670.59,2649.87,2656.38,0.0
2024-09-24,2626.43,2664.42,2622.7,2658.27,0.0
2024-09-23,2620.3,2634.89,2613.91,2626.4,0.0
2024-09-22,2621.26,2622.17,2618.78,2620.29,0.0
2024-09-20,2587.27,2625.82,2584.91,2622.23,0.0
2024-09-19,2559.37,2594.94,2551.14,2587.3,0.0
2024-09-18,2574.17,2600.21,2546.94,2559.36,0.0
2024-09-17,2583.75,2587.01,2560.81,2574.18,0.0
2024-09-16,2579.22,2589.69,2575.4,2583.74,0.0
2024-09-15,2579.81,2580.68,2577.73,2579.23,0.0
2024-09-13,2558.57,2586.13,2556.9,2579.08,0.0
2024-09-12,2511.98,2560.15,2511.12,2558.59,0.0
2024-09-11,2518.77,2529.06,2501.14,2511.99,0.0
2024-09-10,2506.85,2518.92,2500.26,2518.8,0.0
2024-09-09,2496.98,2507.74,2485.64,2506.86,0.0
2024-09-08,2497.25,2498.35,2495.61,2496.96,0.0
2024-09-06,2517.34,2529.26,2485.19,2497.53,0.0
2024-09-05,2495.95,2523.58,2493.89,2517.32,0.0
2024-09-04,2493.37,2500.37,2471.94,2495.94,0.0
2024-09-03,2497.29,2506.32,2473.43,2493.38,0.0
2024-09-02,2503.11,2507.36,2490.14,2497.31,0.0
2024-09-01,2503.05,2504.77,2501.87,2503.13,0.0
2024-08-30,2519.68,2526.94,2494.26,2503.12,0.0
2024-08-29,2508.21,2528.71,2503.71,2519.67,0.0
2024-08-28,2525.39,2525.88,2493.74,2508.2,0.0
2024-08-27,2515.58,2529.12,2503.63,2525.4,0.0
2024-08-26,2516.04,2527.03,2508.78,2515.57,0.0
2024-08-25,2512.03,2516.71,2511.19,2516.03,0.0
2024-08-23,2487.64,2518.37,2486.6,2512.58,0.0
2024-08-22,2512.83,2514.72,2470.88,2487.66,0.0
2024-08-21,2513.04,2519.98,2493.91,2512.86,0.0
2024-08-20,2503.72,2531.79,2497.38,2513.03,0.0
2024-08-19,2506.59,2507.5,2485.76,2503.71,0.0
2024-08-18,2509.1,2510.03,2502.34,2506.51,0.0
2024-08-16,2457.41,2509.78,2450.83,2508.11,0.0
2024-08-15,2449.52,2470.08,2432.28,2457.42,0.0
2024-08-14,2464.28,2480.1,2438.16,2449.51,0.0
2024-08-13,2475.68,2477.02,2458.56,2464.21,0.0
2024-08-12,2428.03,2476.05,2423.9,2475.67,0.0
2024-08-11,2429.2,2433.37,2426.98,2428.0,0.0
2024-08-09,2424.65,2437.12,2416.97,2430.93,0.0
2024-08-08,2384.92,2427.95,2383.35,2424.63,0.0
2024-08-07,2383.86,2407.14,2379.11,2384.91,0.0
2024-08-06,2404.91,2418.38,2381.59,2383.94,0.0
2024-08-05,2441.03,2458.89,2364.29,2404.85,0.0
2024-08-04,2444.67,2447.54,2438.11,2441.04,0.0
2024-08-02,2445.92,2477.75,2410.94,2442.03,0.0
2024-08-01,2445.83,2462.39,2430.33,2445.91,0.0
2024-07-31,2409.95,2450.99,2404.02,2445.84,0.0
2024-07-30,2381.31,2412.9,2376.56,2409.92,0.0
2024-07-29,2397.15,2402.52,2369.7,2381.25,0.0
2024-07-28,2386.7,2403.3,2386.7,2397.16,0.0
2024-07-26,2363.96,2390.84,2355.81,2387.19,0.0
2024-07-25,2398.72,2400.17,2353.26,2363.91,0.0
2024-07-24,2408.65,2432.09,2394.62,2398.71,0.0
2024-07-23,2395.85,2412.03,2388.39,2408.64,0.0
2024-07-22,2411.53,2412.2,2383.98,2395.86,0.0
2024-07-21,2401.09,2411.93,2401.05,2411.52,0.0
2024-07-19,2441.3,2441.38,2393.76,2400.95,0.0
2024-07-18,2461.37,2475.05,2440.43,2441.31,0.0
2024-07-17,2468.31,2483.81,2451.69,2461.36,0.0
2024-07-16,2422.69,2469.91,2420.11,2468.33,0.0
2024-07-15,2408.8,2439.73,2401.41,2422.68,0.0
2024-07-14,2411.66,2412.26,2405.81,2408.77,0.0
2024-07-12,2415.96,2418.27,2391.45,2411.69,0.0
2024-07-11,2372.94,2424.68,2371.51,2415.95,0.0
2024-07-10,2365.04,2386.7,2363.45,2372.95,0.0
2024-07-09,2361.77,2371.7,2349.48,2365.07,0.0
2024-07-08,2386.19,2391.13,2351.15,2361.76,0.0
2024-07-07,2389.73,2390.42,2384.8,2386.2,0.0
2024-07-05,2356.76,2393.02,2349.77,2392.01,0.0
2024-07-04,2358.86,2362.56,2350.51,2356.75,0.0
2024-07-03,2330.29,2364.97,2326.91,2358.84,0.0
2024-07-02,2332.37,2336.87,2319.27,2330.3,0.0
2024-07-01,2325.05,2338.54,2318.55,2332.38,0.0
2024-06-30,2323.22,2326.18,2322.87,2325.06,0.0
2024-06-28,2327.87,2339.81,2319.08,2326.72,0.0
2024-06-27,2298.52,2330.94,2296.65,2327.87,0.0
2024-06-26,2320.03,2323.71,2293.74,2298.51,0.0
2024-06-25,2330.94,2337.17,2315.6,2320.06,0.0
2024-06-24,2319.19,2334.69,2317.99,2330.91,0.0
2024-06-23,2321.11,2322.13,2317.75,2319.21,0.0
2024-06-21,2360.96,2368.81,2316.85,2321.73,0.0
2024-06-20,2329.51,2365.55,2327.88,2360.95,0.0
2024-06-19,2328.36,2335.1,2323.93,2329.5,0.0
2024-06-18,2320.94,2333.15,2306.69,2328.35,0.0
2024-06-17,2328.89,2328.97,2310.07,2320.78,0.0
2024-06-16,2331.41,2331.62,2327.55,2328.91,0.0
2024-06-14,2302.48,2336.64,2301.68,2333.07,0.0
2024-06-13,2320.7,2326.73,2295.64,2302.47,0.0
2024-06-12,2315.18,2341.65,2310.87,2320.69,0.0
2024-06-11,2309.97,2320.02,2297.77,2315.17,0.0
2024-06-10,2298.63,2313.83,2287.88,2309.98,0.0
2024-06-09,2290.48,2300.09,2290.45,2298.55,0.0
2024-06-07,2376.71,2387.7,2286.76,2293.99,0.0
2024-06-06,2355.11,2378.54,2353.57,2376.87,0.0
2024-06-05,2328.9,2357.63,2325.95,2355.1,0.0
2024-06-04,2350.7,2352.89,2315.72,2328.89,0.0
2024-06-03,2326.02,2354.81,2314.86,2350.69,0.0
2024-06-02,2328.74,2328.85,2323.42,2325.98,0.0
2024-05-31,2344.09,2359.8,2320.62,2327.26,0.0
2024-05-30,2338.45,2351.84,2322.75,2344.11,0.0
2024-05-29,2359.89,2361.42,2334.64,2338.46,0.0
2024-05-28,2352.51,2364.16,2340.32,2359.88,0.0
2024-05-27,2337.27,2358.57,2334.53,2352.52,0.0
2024-05-26,2336.0,2340.78,2332.29,2337.26,0.0
2024-05-24,2332.09,2347.47,2325.49,2333.83,0.0
2024-05-23,2382.26,2383.76,2327.09,2332.08,0.0
2024-05-22,2421.83,2426.62,2375.06,2382.25,0.0
2024-05-21,2426.28,2434.0,2406.4,2421.82,0.0
2024-05-20,2420.35,2450.08,2407.46,2426.27,0.0
2024-05-19,2425.33,2425.34,2416.87,2420.34,0.0
2024-05-17,2377.94,2422.81,2374.05,2413.96,0.0
2024-05-16,2391.9,2397.34,2371.07,2377.9,0.0
2024-05-15,2355.86,2391.98,2351.92,2391.89,0.0
2024-05-14,2338.41,2359.69,2334.95,2355.87,0.0
2024-05-13,2360.57,2364.57,2332.27,2338.43,0.0
2024-05-12,2361.57,2363.18,2359.85,2360.53,0.0
2024-05-10,2346.76,2378.48,2346.1,2360.42,0.0
2024-05-09,2308.93,2348.38,2306.71,2346.66,0.0
2024-05-08,2315.27,2321.46,2303.79,2308.86,0.0
2024-05-07,2326.07,2330.03,2310.09,2315.22,0.0
2024-05-06,2294.06,2332.04,2291.91,2326.06,0.0
2024-05-05,2302.35,2303.32,2293.4,2294.07,0.0
2024-05-03,2304.28,2320.84,2277.38,2301.8,0.0
2024-05-02,2323.95,2326.52,2285.57,2304.29,0.0
2024-05-01,2291.4,2328.35,2281.73,2323.94,0.0
2024-04-30,2333.25,2336.23,2285.1,2291.39,0.0
2024-04-29,2336.06,2346.77,2320.02,2333.26,0.0
2024-04-28,2333.74,2336.92,2332.6,2336.08,0.0
2024-04-26,2330.73,2352.63,2326.36,2337.81,0.0
2024-04-25,2316.31,2344.9,2305.25,2330.71,0.0
2024-04-24,2323.4,2337.32,2311.86,2316.3,0.0
2024-04-23,2333.82,2334.48,2291.59,2323.38,0.0
2024-04-22,2386.56,2386.59,2324.89,2333.87,0.0
2024-04-21,2384.27,2388.6,2381.98,2386.54,0.0
2024-04-19,2379.93,2417.89,2372.92,2391.36,0.0
2024-04-18,2367.91,2392.84,2364.16,2379.94,0.0
2024-04-17,2382.8,2395.64,2354.74,2367.9,0.0
2024-04-16,2382.03,2398.32,2363.09,2382.74,0.0
2024-04-15,2364.78,2392.25,2324.43,2382.06,0.0
2024-04-14,2360.38,2372.98,2347.21,2364.79,0.0
2024-04-12,2376.96,2431.57,2333.95,2344.31,0.0
2024-04-11,2335.64,2379.51,2325.91,2376.95,0.0
2024-04-10,2354.98,2360.1,2319.41,2335.62,0.0
2024-04-09,2338.87,2365.37,2337.88,2355.03,0.0
2024-04-08,2311.38,2354.04,2303.02,2338.86,0.0
2024-04-07,2327.77,2328.44,2304.21,2311.32,0.0
2024-04-05,2288.83,2330.53,2267.87,2329.59,0.0
2024-04-04,2297.6,2305.65,2280.03,2288.82,0.0
2024-04-03,2279.93,2302.74,2265.55,2297.57,0.0
2024-04-02,2249.09,2288.42,2246.78,2280.01,0.0
2024-04-01,2246.17,2265.76,2228.6,2249.11,0.0
2024-03-31,2239.73,2247.43,2235.77,2246.08,0.0
2024-03-28,2190.8,2236.36,2187.44,2233.04,0.0
2024-03-27,2179.59,2197.63,2173.34,2190.79,0.0
2024-03-26,2173.0,2200.13,2167.69,2179.58,0.0
2024-03-25,2168.44,2181.38,2163.67,2173.01,0.0
2024-03-24,2166.34,2168.99,2165.23,2168.43,0.0
2024-03-22,2181.81,2186.13,2157.18,2165.36,0.0
2024-03-21,2204.08,2212.56,2166.49,2181.82,0.0
2024-03-20,2157.17,2223.01,2149.68,2204.06,0.0
2024-03-19,2162.2,2162.9,2147.23,2157.15,0.0
2024-03-18,2156.61,2163.67,2146.17,2162.21,0.0
