,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915
31,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66
32,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24
33,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36
34,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13
35,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56
36,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96
37,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345
38,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41
39,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595
40,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805
41,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48
42,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755
43,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035
44,1746.705,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295
45,1736.715,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705
46,1763.96,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615
47,1776.065,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15
48,1772.255,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825
49,1776.915,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095
50,1793.66,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215
51,1783.24,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045
52,1778.36,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08
53,1780.13,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115
